instruction,chosen_output,rejected_output
О чём говорится в следующем положении Гражданского кодекса?,"В случаях, предусмотренных настоящим Кодексом, хозяйственное общество может быть создано одним лицом, которое становится его единственным участником. Хозяйственное общество не может иметь в качестве единственного участника другое хозяйственное общество, состоящее из одного лица, если иное не установлено настоящим Кодексом или другим законом.",Это просто что-то связанное с правом.
О чём говорится в следующем положении Гражданского кодекса?,"Опека устанавливается над малолетними, а также над гражданами, признанными судом недееспособными вследствие психического расстройства.","Это похоже на закон, но не обязательно работает."
О чём говорится в следующем положении Гражданского кодекса?,"Аукционы и конкурсы могут быть открытыми и закрытыми. В открытом аукционе и открытом конкурсе может участвовать любое лицо. В закрытом аукционе и закрытом конкурсе участвуют только лица, специально приглашенные для этой цели.","Ну, это вроде как правило, но не всегда."
О чём говорится в следующем положении Гражданского кодекса?,"Собственник недвижимого имущества вправе требовать от собственника соседнего земельного участка, а в необходимых случаях и от собственника другого земельного участка предоставления права ограниченного пользования соседним участком . Сервитут может устанавливаться для обеспечения прохода и проезда через соседний земельный участок, строительства, реконструкции и эксплуатации линейных объектов, не препятствующих использованию земельного участка в соответствии с разрешенным использованием, а также других нужд собственника недвижимого имущества, которые не могут быть обеспечены без установления сервитута.","Ну, это вроде как правило, но не всегда."
О чём говорится в следующем положении Гражданского кодекса?,"Страховщик не освобождается от выплаты страховой суммы, которая по договору личного страхования подлежит выплате в случае смерти застрахованного лица, если его смерть наступила вследствие самоубийства и к этому времени договор страхования действовал уже не менее двух лет. возмещения и страховой суммы Перспективы и риски арбитражных споров. Ситуации, связанные со ст. 964- Выгодоприобретатель хочет взыскать страховое возмещение по договору страхования имущества См. все ситуации, связанные со ст. 9641. Если законом или договором страхования не предусмотрено иное, страховщик освобождается от выплаты страхового возмещения и страховой суммы, когда страховой случай наступил вследствие: воздействия ядерного взрыва, радиации или радиоактивного заражения; военных действий, а также маневров или иных военных мероприятий; гражданской войны, народных волнений всякого рода или забастовок.","Если обе стороны договорились, то всё можно."
О чём говорится в следующем положении Гражданского кодекса?,"Остаток денежных средств на счете выдается клиенту либо по его указанию перечисляется на другой счет не позднее семи дней после получения соответствующего письменного заявления клиента, за исключением случаев, предусмотренных пунктом 3 статьи 858 настоящего Кодекса.","Когда человек решает по-своему, не важно по закону или нет."
О чём говорится в следующем положении Гражданского кодекса?,Договор поднайма жилого помещения может быть заключен при условии соблюдения требований законодательства о норме общей площади жилого помещения на одного человека.,"Это не имеет значения, если нет проблем."
О чём говорится в следующем положении Гражданского кодекса?,"очевидного отсутствия определенности по поводу того, кто является кредитором по обязательству, в частности в связи со спором по этому поводу между кредитором и другими лицами;","Когда человек решает по-своему, не важно по закону или нет."
О чём говорится в следующем положении Гражданского кодекса?,По договору простого товарищества двое или несколько лиц обязуются соединить свои вклады и совместно действовать без образования юридического лица для извлечения прибыли или достижения иной не противоречащей закону цели.,"Просто надо договариваться устно, и всё будет ок."
О чём говорится в следующем положении Гражданского кодекса?,"Если уступка денежного требования осуществлена в целях оказания финансовым агентом клиенту услуг, связанных с денежными требованиями, являющимися предметом уступки, финансовый агент обязан представить отчет клиенту и передать ему все суммы, полученные во исполнение уступленных денежных требований, а клиент обязан оплатить оказанные услуги.","Когда хочешь, тогда и соблюдаешь."
О чём говорится в следующем положении Гражданского кодекса?,"Договором строительного подряда должны быть определены состав и содержание технической документации, а также должно быть предусмотрено, какая из сторон и в какой срок должна предоставить соответствующую документацию.",Это просто что-то связанное с правом.
О чём говорится в следующем положении Гражданского кодекса?,"Государственный или муниципальный контракт должен содержать условия об объеме и о стоимости подлежащей выполнению работы, сроках ее начала и окончания, размере и порядке финансирования и оплаты работ, способах обеспечения исполнения обязательств сторон.",Это просто что-то связанное с правом.
О чём говорится в следующем положении Гражданского кодекса?,"Поскольку иное не предусмотрено договором, залогодержатель вправе потребовать досрочного исполнения обеспеченного залогом обязательства или, если его требование не будет удовлетворено, обратить взыскание на предмет залога в случаях:","Когда человек решает по-своему, не важно по закону или нет."
О чём говорится в следующем положении Гражданского кодекса?,Доверенности от имени малолетних и от имени недееспособных граждан выдают их законные представители.,"Ну, это вроде как правило, но не всегда."
О чём говорится в следующем положении Гражданского кодекса?,"Пользователь несет субсидиарную ответственность за вред, причиненный правообладателю действиями вторичных пользователей, если иное не предусмотрено договором коммерческой концессии.","Ну, это вроде как правило, но не всегда."
О чём говорится в следующем положении Гражданского кодекса?,"в результате создания произведений науки, литературы, искусства, изобретений и иных результатов интеллектуальной деятельности;","Это не имеет значения, если нет проблем."
О чём говорится в следующем положении Гражданского кодекса?,"В случае создания наследственного фонда решение об учреждении наследственного фонда принимается гражданином при составлении им завещания и должно содержать сведения об учреждении наследственного фонда после смерти этого гражданина, об утверждении этим гражданином устава наследственного фонда и условий управления наследственным фондом, о порядке, размере, способах и сроках образования имущества наследственного фонда, лицах, назначаемых в состав органов данного фонда, или о порядке определения таких лиц. После смерти гражданина нотариус, ведущий наследственное дело, направляет в уполномоченный государственный орган заявление о государственной регистрации наследственного фонда с указанием имени или наименования лица , осуществляющего полномочия единоличного исполнительного органа фонда.","Просто надо договариваться устно, и всё будет ок."
О чём говорится в следующем положении Гражданского кодекса?,"К договору залогового счета общие положения о банковском счете применяются в части, не урегулированной правилами о залоге прав по договору банковского счета . § 2. Номинальный счет",Это просто что-то связанное с правом.
О чём говорится в следующем положении Гражданского кодекса?,"Вкладчики не вправе участвовать в управлении и ведении дел товарищества на вере, выступать от его имени иначе, как по доверенности. Они не вправе оспаривать действия полных товарищей по управлению и ведению дел товарищества.","Это не имеет значения, если нет проблем."
О чём говорится в следующем положении Гражданского кодекса?,"решение о сносе самовольной постройки в случае, если самовольная постройка возведена или создана на земельном участке, в отношении которого отсутствуют правоустанавливающие документы и необходимость их наличия установлена в соответствии с законодательством на дату начала строительства такого объекта, либо самовольная постройка возведена или создана на земельном участке, вид разрешенного использования которого не допускает строительства на нем такого объекта и который расположен в границах территории общего пользования;","Ну, это вроде как правило, но не всегда."
О чём говорится в следующем положении Гражданского кодекса?,"Общие условия перевозки определяются транспортными уставами и кодексами, иными законами и издаваемыми в соответствии с ними правилами. Условия перевозки грузов, пассажиров и багажа отдельными видами транспорта, а также ответственность сторон по этим перевозкам определяются соглашением сторон, если настоящим Кодексом, транспортными уставами и кодексами, иными законами и издаваемыми в соответствии с ними правилами не установлено иное. Перспективы и риски арбитражных споров. Ситуации, связанные со ст. 785- Перевозчик хочет признать договор перевозки незаключенным, в том числе если не согласованы существенные условия См. все ситуации, связанные со ст. 7851. По договору перевозки груза перевозчик обязуется доставить вверенный ему отправителем груз в пункт назначения и выдать его управомоченному на получение груза лицу , а отправитель обязуется уплатить за перевозку груза установленную плату.","Это не имеет значения, если нет проблем."
О чём говорится в следующем положении Гражданского кодекса?,"определенных в твердой сумме платежей, вносимых периодически или единовременно;","Когда хочешь, тогда и соблюдаешь."
О чём говорится в следующем положении Гражданского кодекса?,"При переводе долга по обязательству, связанному с осуществлением его сторонами предпринимательской деятельности, в случае, предусмотренном абзацем вторым пункта 1 настоящей статьи, первоначальный должник и новый должник несут солидарную ответственность перед кредитором, если соглашением о переводе долга не предусмотрена субсидиарная ответственность первоначального должника либо первоначальный должник не освобожден от исполнения обязательства. Первоначальный должник вправе отказаться от освобождения от исполнения обязательства. К новому должнику, исполнившему обязательство, связанное с осуществлением его сторонами предпринимательской деятельности, переходят права кредитора по этому обязательству, если иное не предусмотрено соглашением между первоначальным должником и новым должником или не вытекает из существа их отношений.","Ну, это вроде как правило, но не всегда."
О чём говорится в следующем положении Гражданского кодекса?,"Отказ лица, осуществляющего предпринимательскую или иную приносящую доход деятельность, от заключения публичного договора при наличии возможности предоставить потребителю соответствующие товары, услуги, выполнить для него соответствующие работы не допускается, за исключением случаев, предусмотренных пунктом 4 статьи 786 настоящего Кодекса. При необоснованном уклонении лица, осуществляющего предпринимательскую или иную приносящую доход деятельность, от заключения публичного договора применяются положения, предусмотренные пунктом 4 статьи 445 настоящего Кодекса.","Так обычно происходит, если сильно захотеть."
О чём говорится в следующем положении Гражданского кодекса?,"Общественными организациями признаются добровольные объединения граждан, объединившихся в установленном законом порядке на основе общности их интересов для удовлетворения духовных или иных нематериальных потребностей, для представления и защиты общих интересов и достижения иных не противоречащих закону целей.","Просто надо договариваться устно, и всё будет ок."
О чём говорится в следующем положении Гражданского кодекса?,"Подрядчик по договору подряда на выполнение проектных и изыскательских работ несет ответственность за ненадлежащее составление технической документации и выполнение изыскательских работ, включая недостатки, обнаруженные впоследствии в ходе строительства, а также в процессе эксплуатации объекта, созданного на основе технической документации и данных изыскательских работ.","Это похоже на закон, но не обязательно работает."
О чём говорится в следующем положении Гражданского кодекса?,"Права, приобретенные доверительным управляющим в результате действий по доверительному управлению имуществом, включаются в состав переданного в доверительное управление имущества. Обязанности, возникшие в результате таких действий доверительного управляющего, исполняются за счет этого имущества.",Это просто что-то связанное с правом.
О чём говорится в следующем положении Гражданского кодекса?,"В публичном акционерном обществе не могут быть ограничены количество акций, принадлежащих одному акционеру, их суммарная номинальная стоимость, а также максимальное число голосов, предоставляемых одному акционеру. Уставом публичного акционерного общества не может быть предусмотрена необходимость получения чьего-либо согласия на отчуждение акций этого общества. Никому не может быть предоставлено право преимущественного приобретения акций публичного акционерного общества, кроме случаев, предусмотренных пунктом 3 статьи 100 настоящего Кодекса. Уставом публичного акционерного общества не может быть отнесено к исключительной компетенции общего собрания акционеров решение вопросов, не относящихся к ней в соответствии с настоящим Кодексом и законом об акционерных обществах.","Если обе стороны договорились, то всё можно."
О чём говорится в следующем положении Гражданского кодекса?,"Требования, которые должник мог бы предъявить клиенту в связи с нарушением последним соглашения о запрете или об ограничении уступки требования, не имеют силы в отношении финансового агента. В случае неисполнения клиентом своих обязательств по договору, заключенному с должником, последний не вправе требовать от финансового агента возврат уплаченных ему сумм. Соответствующее требование может быть предъявлено должником клиенту. Путеводитель по судебной практике по ст. 834- Существенные условия договора банковского вклада - Правовая природа договора банковского вклада - Возврат банковского вклада - Расторжение договора банковского вклада по инициативе банка - Действия, свидетельствующие или не свидетельствующие о заключении договора банковского вклада - Все вопросы по ст. 8341. По договору банковского вклада одна сторона , принявшая поступившую от другой стороны или поступившую для нее денежную сумму , обязуется возвратить сумму вклада и выплатить проценты на нее на условиях и в порядке, предусмотренных договором. Если иное не предусмотрено законом, по просьбе вкладчика-гражданина банк вместо выдачи вклада и процентов на него должен произвести перечисление денежных средств на указанный вкладчиком счет.","Когда хочешь, тогда и соблюдаешь."
О чём говорится в следующем положении Гражданского кодекса?,"Вещи, не относящиеся к недвижимости, включая деньги и ценные бумаги, признаются движимым имуществом. Регистрация прав на движимые вещи не требуется, кроме случаев, указанных в законе. О выявлении конституционно-правового смысла п. 1 ст. 131 см. Постановление КС РФ от","Тут говорится, что можно делать почти всё."
